Id,Composition,Phases present,Hardness (HVN),Yield Strength (MPa),Ultimate Tensile Strength (MPa),Elongation (%),Compressive strength (MPa),Plasticity (%) - Compressive,Note on any unqiue processing or data features,Source,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
569,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1198.22,,"−196 °C, 24 h, 10 °C/min",https://doi.org/10.1016/j.jallcom.2022.164310,1,0,0,0,0,0,0.096,0,0,0.192,0,0.192,0.192,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0.038,0,0
571,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1164.26,,"−196 °C, 48 h, 10 °C/min",https://doi.org/10.1016/j.jallcom.2022.164310,1,0,0,0,0,0,0.096,0,0,0.192,0,0.192,0.192,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0.038,0,0
884,FeCrNiCoCu0.5Al0.8,FCC+BCC,410,,,,1150,27,,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,1,1,0,0,0,0.151,0,0,0,0.189,0.189,0.094,0.189,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0
778,Ni1.2CoCuFeCr0.8,FCC1+FCC2,374,,,,1145,26.9,spark plasma sintering (SPS).,dx.doi.org/10.1016/j.jallcom.2015.11.205,1,0,0,0,0,0,0,0,0,0.2,0.16,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0
349,FeCoNiCuMo0.4,FCC,203,,,,1106,40,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,0,0,0,0,0,0,0,0,0.227,0,0.227,0.227,0,0,0,0,0,0,0.091,0,0,0,0.227,0,0,0,0,0,0,0,0,0,0,0,0
568,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1088.71,,"−196 °C, 12 h, 10 °C/min",https://doi.org/10.1016/j.jallcom.2022.164310,1,0,0,0,0,0,0.096,0,0,0.192,0,0.192,0.192,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0.038,0,0
567,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1081.49,,"−100 °C, 24 h, 10 °C/min",https://doi.org/10.1016/j.jallcom.2022.164310,1,0,0,0,0,0,0.096,0,0,0.192,0,0.192,0.192,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0.038,0,0
69,AlCuFeNiTi,FCC,516,,,,1074,8,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
566,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1053.1,,"−50 °C, 24 h, 10 °C/min",https://doi.org/10.1016/j.jallcom.2022.164310,1,0,0,0,0,0,0.096,0,0,0.192,0,0.192,0.192,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0.038,0,0
50,CoCrCuFeNiTi0.8,FCC + Im,,,,,1042,3,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0,0,0,0,0.172,0.172,0.172,0.172,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0.138,0,0,0,0,0
