Unique ID,Composition,doi,Phase,ρ (g/cm<sup>3</sup>),E (GPa),σ (MPa) at 23 C,σ(MPa) at 1000 C,σ(MPa) at 1200 C,G (GPa),C11 (GPa),Fracture Toughness,Ductility [%],Test Type
6-132426272829-201616161616-000219_10,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1860,,,,,,10.5,N/A
6-132426272829-201616161616-000219_11,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1760,,,,,,17.8,C
6-132426272829-201616161616-000219_12,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1200,,,,,,31.6,N/A
6-132426272829-201616161616-000219_13,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1200,,,,,,26.3,N/A
6-132426272829-201616161616-000219_14,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1020,,,,,,47.4,N/A
7-016132426272829-01621616161616-000221_1,Al<sub>0.15</sub>CoCrCuFeNiC,10.1016/j.jallcom.2018.05.180,FCC,7.73,148.3,2047,,,,,,,
8-01313222426272829-0132131313131313-000221_1,Al<sub>0.15</sub>CoCrCuFeNiTiC,10.1016/j.jallcom.2018.05.180,FCC+BCC,6.87,161.3,2199,,,,,,,
8-01213222426272829-0121241212121212-000221_1,Al<sub>0.15</sub>CoCrCuFeNiTi<sub>2</sub>C,10.1016/j.jallcom.2018.05.180,FCC+BCC,6.7,179.3,2877,,,,,,,
5-2324252629-0029298291-000233_1,CrMn<sub>0.3</sub>FeVCu<sub>0.06</sub>,10.1016/j.jmst.2018.02.026,FCC+BCC,,,1273,,,,,,50.7,C
5-2324252629-0272713272-000233_1,CrMn<sub>0.5</sub>FeVCu<sub>0.10</sub>,10.1016/j.jmst.2018.02.026,FCC+BCC,,,1087,,,,,,49.2,C
5-2324252629-0262618263-000233_1,CrMn<sub>0.7</sub>FeVCu<sub>0.14</sub>,10.1016/j.jmst.2018.02.026,FCC+BCC,,,1068,,,,,,49.8,C
5-2324252629-0232323234-000233_1,CrMnFeVCu<sub>0.20</sub>,10.1016/j.jmst.2018.02.026,FCC+BCC,,,862,,,,,,48.7,C
5-2224262930-2020202020-000246_1,CuCrFeTiZn,10.1016/j.wear.2018.05.023,FCC+BCC,6.94,241,585,,,,,21.67,,
6-222426293082-101010101050-000246_1,(CuCrFeTiZn)<sub>95</sub>Pb<sub>5</sub>,10.1016/j.wear.2018.05.023,Multiphase,7.55,174,440,,,,,13.11,,
6-222426293082-000006666666-000246_1,(CuCrFeTiZn)<sub>90</sub>Pb<sub>10</sub>,10.1016/j.wear.2018.05.023,Multiphase,7.85,144,258,,,,,10.02,,
6-132426272829-161616161616-000262_1,CoCrFeNiCuAl,10.1016/j.intermet.2019.04.014,FCC+BCC,,,790,,,,,,0.2,T
5-2426272829-2020202020-000270_1,CoCrFeNiCu,10.1016/j.msea.2019.05.056,FCC,,,230,,,,,,,
7-13242526272829-14141414141414-000270_1,AlCrFeCoNiCuMn,10.1016/j.msea.2019.05.056,FCC + BCC,,,1005,,,,,,,
7-13222426272829-14141414141414-000270_1,AlCrFeCoNiCuTi,10.1016/j.msea.2019.05.056,BCC1+BCC2+FCC,,,1234,,,,,,,
5-1326272829-2222112222-000292_1,AlCoCuFeNi<sub>0.5</sub>,10.1016/j.jmst.2018.12.014,BCC+FCC+B2,,,929,,,,,,13.7,C
5-1326272829-2020162020-000292_1,AlCoCuFeNi<sub>0.8</sub>,10.1016/j.jmst.2018.12.014,BCC+FCC+B2,,,1021,,,,,,12.3,C
5-1326272829-2020202020-000292_1,AlCoCuFeNi<sub>1.0</sub>,10.1016/j.jmst.2018.12.014,FCC+BCC+B2,,,994,,,,,,24.5,C
5-1326272829-1818271818-000292_1,AlCoCuFeNi<sub>1.5</sub>,10.1016/j.jmst.2018.12.014,FCC+BCC+B2,,,680,,,,,,35.9,C
5-1326272829-1616331616-000292_1,AlCoCuFeNi<sub>2.0</sub>,10.1016/j.jmst.2018.12.014,FCC+BCC+B2,,,544,,,,,,,
5-1326272829-1414421414-000292_1,AlCoCuFeNi<sub>3.0</sub>,10.1016/j.jmst.2018.12.014,FCC,,,268,,,,,,,
6-132426272829-008171733178-000297_1,Al<sub>8</sub>Co<sub>17</sub>Cr<sub>17</sub>Cu<sub>8</sub>Fe<sub>17</sub>Ni<sub>33</sub>,10.1016/j.matchar.2018.06.036,FCC+L12,,,357,,,,,,9,T
6-132426272829-008171733178-000297_2,Al<sub>8</sub>Co<sub>17</sub>Cr<sub>17</sub>Cu<sub>8</sub>Fe<sub>17</sub>Ni<sub>33</sub>,10.1016/j.matchar.2018.06.036,FCC+L12,,,215,,,,,,39,T
6-132426272829-003181836183-000297_1,Al<sub>4</sub>Co<sub>19</sub>Cr<sub>19</sub>Cu<sub>4</sub>Fe<sub>19</sub>Ni<sub>37</sub>,10.1016/j.matchar.2018.06.036,FCC,,,719,,,,,,30,T
6-132426272829-003181836183-000297_2,Al<sub>4</sub>Co<sub>19</sub>Cr<sub>19</sub>Cu<sub>4</sub>Fe<sub>19</sub>Ni<sub>37</sub>,10.1016/j.matchar.2018.06.036,FCC+L12,,,460,,,,,,32,T
